latitude,longitude,altitude,datetime,user_id,trajectory_file,transportation_mode
40.0883083,116.5803816,0.0,2009-04-21 06:41:42,131,20090421063014,unknown
39.9999299,116.3598733,226.4,2009-02-16 10:31:22,34,20090216094300,unknown
39.950374,116.801729,622.0,2009-02-03 00:20:38,30,20090203001652,unknown
39.8290366,118.3545349,101.7,2008-10-12 09:57:30,140,20081012075456,unknown
39.996129,116.328489,162.0,2008-10-30 00:26:33,9,20081030000923,unknown
39.6783983,116.3269516,108.3,2009-06-07 08:04:04,41,20090607074657,unknown
40.0854433,116.3439399,190.3,2009-04-11 09:39:12,34,20090411045501,unknown
39.9658833,116.323115,164.0,2009-01-11 07:55:50,17,20090111061215,unknown
40.0740266,116.3283066,147.6,2008-09-15 13:02:19,128,20080915115139,bike
39.897751,116.384858,119.0,2008-12-05 03:57:18,2,20081204235532,unknown
40.0028833,116.3464416,173.9,2009-02-13 13:11:23,17,20090212080506,unknown
37.582802,126.992157,256.0,2008-05-07 05:35:35,163,20080507015023,walk
40.028575994,116.441939332,82.063405511811,2011-11-09 17:43:29,153,20111109172421,unknown
39.929103,116.319635,168.0,2011-07-12 11:21:14,168,20110712105622,unknown
39.937001,116.321863,271.0,2009-05-28 08:52:43,3,20090528012338,unknown
39.970215,116.313181666667,0.0,2011-09-22 13:12:17,65,20110922130627,bike
39.999712,116.32293,242.0,2009-04-19 20:29:57,30,20090419202757,unknown
39.9818849,116.3100499,167.3,2008-08-12 09:02:39,62,20080812085845,bus
30.539272,114.292118,0.0,2009-07-30 05:18:50,68,20090730024623,bike
39.999223,116.326934,50.0,2008-10-24 10:14:54,4,20081024092739,unknown
39.968378,116.41842,0.0,2009-08-15 14:36:58,68,20090814181033,bus
41.432005,122.3889416,32.8,2009-01-03 19:37:20,144,20090103154019,unknown
39.9671833,116.3173783,255.9,2009-02-08 13:06:05,38,20090207233622,unknown
39.943214,116.297951,167.0,2010-06-10 11:28:29,142,20100610111805,unknown
39.112193,117.257095,2.0,2008-06-15 22:29:26,10,20080615221713,train
40.058172,116.404015,252.0,2009-07-19 13:16:23,22,20090717132508,unknown
39.999595,116.26767,0.0,2011-10-22 06:12:56,141,20111022031803,walk
22.341068022,114.048679392,191.961660104987,2012-05-06 13:16:50,163,20120506073358,unknown
39.8735809333333,116.303497316667,0.0,2009-08-04 05:30:37,50,20090804015753,unknown
39.980353,116.449299,99.0,2010-10-19 23:57:33,163,20101019235204,unknown
40.042145,116.405012,117.0,2008-05-25 10:24:35,85,20080525090205,bus
34.001209,113.824744,-206.0,2009-09-30 11:20:56,168,20090930071934,unknown
39.9866371166667,116.39777375,0.0,2009-08-22 05:47:17,50,20090821232721,unknown
39.97622,116.328933333333,0.0,2012-02-09 14:33:35,74,20120209141107,unknown
40.000248,116.379024,180.0,2008-07-22 11:54:27,52,20080722041604,unknown
40.032621,116.404505,122.0,2011-08-07 11:22:58,168,20110807110004,unknown
39.9753983333333,116.302998333333,0.0,2012-01-09 00:17:51,74,20120109000740,unknown
39.975976,116.330259,208.0,2008-09-29 08:28:03,153,20080929032100,walk
39.887248,116.679337,60.0,2009-06-18 04:47:52,43,20090618010333,unknown
39.975153,116.329508,277.0,2010-05-15 05:35:42,65,20100515052702,unknown
39.866095,116.393169,86.0,2009-03-17 23:39:24,29,20090317225758,unknown
39.995978,116.326724,176.0,2009-03-09 11:13:36,3,20090309004221,unknown
39.990962,116.316606,580.0,2009-05-09 03:08:04,4,20090509023138,unknown
39.9850333,116.3225466,-26.2,2009-01-23 09:47:23,14,20090123000808,unknown
38.699785,115.146728333333,0.0,2009-01-16 09:58:44,23,20090116063635,unknown
39.922879,116.280243,142.0,2009-03-11 23:04:33,28,20090311100222,unknown
39.9971533333333,116.263245,0.0,2011-10-22 07:09:37,141,20111022031803,walk
39.967375,116.4102716,114.8,2009-02-11 06:10:45,17,20090211011344,unknown
39.89539,116.389725,113.0,2009-04-05 10:04:51,36,20090405010007,unknown
40.3602083,116.0146599,2680.4,2008-05-18 05:53:01,128,20080518022219,car
39.968788,116.399254,322.0,2009-01-03 03:41:07,135,20090103012134,unknown
40.002798,116.324425,-138.0,2009-02-09 09:48:39,3,20090209094503,unknown
40.32542,116.6756916,147.6,2009-04-28 02:59:51,41,20090427221611,unknown
39.8598083,116.2591283,200.1,2009-05-11 21:53:30,41,20090511211839,unknown
39.8399699,116.4093349,147.6,2008-09-05 12:22:26,140,20080905103651,unknown
39.998113,116.308946,145.0,2009-04-11 07:52:42,3,20090411052358,unknown
39.9471083,116.3659616,213.3,2010-09-07 01:04:06,128,20100907000236,unknown
43.10904,88.588413,-777.0,2008-04-04 03:13:28,10,20080403160000,train
1.3112,103.763585,32.8,2008-07-25 10:15:53,142,20080725071035,unknown
39.981017,116.310591,227.0,2008-10-16 03:26:13,85,20081016023300,walk
39.866637,116.41523,109.0,2009-01-15 14:54:16,29,20090115101158,unknown
39.902714,116.392332,110.455183727034,2009-10-11 14:57:29,151,20091011140430,unknown
39.97854,116.33266,0.0,2011-04-22 22:03:36,67,20110422130628,unknown
40.0321083,116.3396883,118.1,2010-04-02 13:02:03,128,20100402123105,unknown
40.2083883,116.4946549,183.7,2008-05-11 07:25:45,126,20080511054320,bus
39.994841,116.456598,147.0,2010-02-08 09:40:29,153,20100208091304,unknown
40.3955899,116.9011716,354.3,2009-07-15 05:07:33,128,20090715030115,unknown
39.9873649,116.4100033,0.0,2008-07-17 07:24:56,115,20080717065806,unknown
40.058268,116.404116,217.0,2009-07-18 14:15:03,22,20090717132508,unknown
39.984758667,116.458738993,133.895761154856,2012-02-19 13:53:51,153,20120219121622,unknown
39.975465,116.305955,0.0,2011-05-20 16:18:46,95,20110520161431,unknown
39.984582,116.4512,48.0,2010-01-13 10:02:45,153,20100113094603,unknown
44.097648,125.166481,761.0,2010-03-19 04:31:14,153,20100319002322,unknown
40.066433,116.404943,210.0,2009-08-12 19:19:55,85,20090812113901,unknown
39.978326,116.327085,245.0,2008-07-11 00:55:56,96,20080710100929,unknown
39.90518,116.346366,161.0,2009-07-02 11:00:05,36,20090702005634,unknown
38.1756833333333,116.753435,0.0,2011-05-20 16:12:49,67,20110520133037,unknown
39.96274,116.487644,-7.0,2009-05-11 13:53:32,22,20090511000217,unknown
39.8769149780273,116.361335754395,150.918635170604,2009-08-06 18:37:32,50,20090806135544,unknown
39.9966566666667,116.276403333333,0.0,2011-10-22 07:53:41,141,20111022031803,walk
38.8758433,121.5553399,88.6,2009-06-09 11:54:48,25,20090609112946,unknown
39.98205,116.45061,37.0,2011-02-10 09:39:49,163,20110210093728,unknown
39.9963866,116.0858449,387.1,2009-05-29 02:17:18,128,20090529013344,car
39.7890499,116.4334866,134.5,2009-06-16 07:18:25,41,20090616034844,unknown
39.9718483,116.4193066,170.6,2009-02-20 01:53:17,140,20090220013307,unknown
39.998157,116.416597,0.0,2009-02-24 10:53:04,68,20090224071103,unknown
39.9866966,116.3029849,213.3,2009-02-07 04:43:04,25,20090206133210,unknown
39.968179,116.42783,119.0,2009-08-30 10:51:30,153,20090830013122,taxi
43.2484233333333,124.481401666667,0.0,2012-01-02 08:05:21,71,20120102033934,unknown
39.9341249,116.2685083,180.4,2009-04-02 10:11:24,17,20090401235303,unknown
38.61668,116.851633333333,0.0,2011-06-17 00:30:53,67,20110616141307,unknown
39.9744183333333,116.331225,0.0,2011-09-02 12:08:20,75,20110902093233,unknown
47.629313,-122.136837,278.0,2008-08-17 06:33:30,82,20080816145005,unknown
40.9225949,117.3174049,1686.4,2009-01-29 10:41:51,17,20090129090401,unknown
32.887265,117.36319,0.0,2011-06-16 16:59:33,67,20110616141307,unknown
39.9910616666667,116.310445,0.0,2011-11-12 09:54:15,165,20111112084303,unknown
39.966585,116.319365,0.0,2011-09-22 13:22:06,65,20110922130627,bike
40.000328,116.379004,177.0,2008-07-21 18:14:36,52,20080721040656,unknown
39.996943,116.330482,210.0,2009-06-06 11:10:37,4,20090606060305,unknown
39.982884,116.293228,120.0,2009-04-26 11:43:05,4,20090426032926,unknown
39.9667283,116.348345,236.2,2008-12-11 03:02:31,11,20081211024914,unknown
40.0985016,116.3598983,98.4,2010-01-10 05:53:40,128,20100110053112,unknown
40.044124,116.412862,237.0,2009-02-21 09:15:37,3,20090221034838,unknown
39.9652183333333,116.324973333333,0.0,2011-09-18 23:45:15,65,20110918234251,bike
39.990714,116.305917,224.0,2008-05-26 14:00:13,52,20080526121804,unknown
38.979365,116.100963,24.0,2009-01-26 06:42:37,30,20090125213658,unknown
39.977263,116.311042,222.0,2009-03-19 01:11:30,3,20090319004859,unknown
39.9796833,116.3172316,180.4,2009-03-03 09:17:48,14,20090303052736,unknown
40.4709483333333,116.833118333333,0.0,2012-05-05 08:48:23,71,20120504232458,unknown
39.9456977844238,116.290985107422,246.062992125984,2009-08-21 18:41:54,50,20090821133743,unknown
39.84573,118.550882,166.0,2008-06-07 03:06:13,126,20080607010216,train
39.7647999,117.9485483,55.8,2009-07-12 07:27:08,41,20090712044248,unknown
34.227778,117.540673,157.48031496063,2009-10-01 07:06:49,66,20090930133236,unknown
39.99459,116.326316666667,0.0,2011-10-25 09:49:02,65,20111025085403,bike
40.362306,115.892778,1796.0,2009-05-27 06:18:14,39,20090527043829,unknown
39.91048,116.516649,0.0,2009-07-04 16:09:45,68,20090704104258,unknown
40.031756,116.314363,300.0,2008-10-02 10:41:56,179,20081002014228,subway
39.98511,116.352837,181.0,2008-05-31 13:20:10,52,20080531033106,unknown
46.621777,124.916274,603.0,2009-01-18 00:18:10,22,20090117223222,unknown
37.435405,110.895627,2423.0,2009-01-29 08:00:50,2,20090129053303,unknown
39.9912916,116.32572,203.4,2009-06-25 04:08:32,25,20090625034002,unknown
39.9026316,116.1986799,206.7,2009-06-10 00:46:07,41,20090610001505,unknown
39.98568244,116.35207453,212.617158792651,2012-02-16 08:50:31,163,20120216081701,unknown
